(Кобылинский Л.Л.) Эллис
(Шполянский А.П.) Дон-Аминадо
dubium
А.К. Толстой
А.С. Грибоедов
А.С. Пушкин
Аблесимов А.А.
Агнивцев Н.Я.
Адалис А.Е.
Адамович Г. В.
Аксенов И.А.
Александровский В.Д.
Алексеева Л.А.
Алмазов Б.Н.
Алтаузен Дж.
Алымов С.Я.
Альвинг (Смирнов) А.А.
Алякринский С.А.
Аминадо Дон (Шполянский А.)
Аммосов А.Н.
Анастасевич В.Г.
Андреев В.Л.
Андреевский С.А.
Анисимов Ю.П.
Анненский И.Ф.
Анстей О.Н.
Антокольский П.Г.
Антоновская А.А.
Апухтин А.Н.
Арватов Б.И.
Аргамаков А.В.
Аронзон Л.Л.
Арсеньева К.С.
Арский П.А.
Артамонов М.Д.
Арцыбашев Н.С.
Асеев Н.Н.
Ахматова А.А.
Ахматова А.А. | dubium
Ашхарумов Д.Д.
Багрицкий Э.Г.
Багрицкий Э.Г. | Штейнберг А.А.
Бакулин А.Я.
Бакунин А.М.
Бакунина Е.В.
Баласогло А.П.
Балтрушайтис Ю.К.
Бальмонт К.Д.
Баранов Д.О.
Баратынский Е. А.
Баратынский Е.А.
Баратынский Е.А.| Дельвиг А.А.
Барков И. С.
Баркова А.А.
Барт (Копельман) С.В.
Бартольд Л.Ф.
Батеньков Г.С.
Батюшков К. Н.
Батюшков К.Н.
Бахтерев И.В.
Бахтин И.И.
Бахтурин К.А.
Баян В. (Сидоров В.И.)
Бедный Д. (Придворов Е.А.)
Безыменский А.И.
Бекетов П.П.
Беленсон А.Э.
Белозеров А.А.
Белоцветов Н.Н.
Белый А. (Бугаев Б.Н.)
Беляев Т.
Бенар Н.В.
Бенедиктов В. Г.
Бенедиктов В.Г.
Беницкий А.П.
Берберова Н.Н.
Берг Н.В.
Берг Ф.Н.
Берггольц О.Ф.
Бердников Я.П.
Берлин А.Э.
Бернет Е.
Бестужев-Марлинский А. А.
Бестужев-Марлинский А.А.
Бехтеев С.С.
Благов Ф.Ф.
Блаженный В.
Блок А.А.
Блок А.А. | dubium
Блок А.А. | соавторы
Блох Р.Н.
Блюменфельд В.М.
Бобрищев-Пушкин П.С.
Бобров С.П.
Бобров С.С.
Богданов А.А.
Богданов В.И.
Богданович И.Ф.
Богораз-Тан В.Г.
Божнев Б.Б.
Большаков К.А.
Борн И.М.
Бородаевский В.В.
Браиловский А.Я.
Брандт Я.И. | dubium
Браун Н.Л.
Брюсов В.Я.
Брянчанинов Ф.М.
Будищев А.Н.
Булич В.С.
Булкин-Браславский А.Я.
Бунин И.А.
Бунина А.П.
Буренин В.П.
Буринский З.А.
Бурлюк Д.Д.
Бурлюк Н.Д.
Бутурлин П.Д.
Бухарский А.
Бухарский А.И.
Бухов А.С.
Бушман И.Н.
Вагинов (Вагенгейм) К.К.
Варакин И.И.
Василенко В.
Васильев И.М.
Васильев П.Н.
Введенский А.И.
Вейнберг П.И.
Величковская Т.А.
Величковский А.Е.
Вельтман А.Ф.
Веневитинов Д. В.
Венедиктов А.И.
Венский Е. (Пяткин Е.О.)
Вертинский А.Н.
