"","Country","lon","lat"
"1","россия",94.25,66.416667
"2","франция",2.566667,46.85
"3","италия",12,43
"4","польша",21.033333,52.216667
"5","египет",29,26
"6","греция",23.741111,38.301111
"7","индия",78.310556,21.125556
"8","германия",9.916667,51.516667
"9","англия",-1.466667,53.166667
"10","израиль",35.216667,31.783333
"11","украина",32,49
"12","литва",24.1,55.333333
"13","испания",-3,40
"14","ливан",35.85,33.9
"15","грузия",43.733333,41.683333
"16","куба",-79.016667,22.016667
"17","ватикан",12.453389,41.903417
"18","иран",54.295,32.496111
"19","япония",138.95,37.416667
"20","австралия",135,-25
"21","финляндия",26.65,64.35
"22","норвегия",13.4,65.833333
"23","мексика",-102.033333,22.383333
"24","дания",9.783333,55.783333
"25","шотландия",-4.2,56.65
"26","австрия",13.65,47.433333
"27","турция",35,39
"28","гренада",-61.666667,12.116667
"29","швейцария",8.333333,46.933333
"30","венгрия",19.04,47.498056
"31","канада",-75.666667,45.4
"32","ливия",17.783333,27.416667
"33","армения",44.95,40.383333
"34","сербия",20.883333,44.233333
"35","сирия",38.633333,35.3
"36","алжир",3.45,27.25
"37","бельгия",4.766667,50.533333
"38","болгария",25.4,42.65
"39","судан",30.366667,13.75
"40","казахстан",66.233333,48.95
"41","бразилия",-50.4,-11.183333
"42","гибралтар",-5.35,36.133333
"43","чили",-72.333333,-37.933333
"44","чехия",15.466667,49.85
"45","молдавия",28.583333,47.216667
"46","белоруссия",28.766667,53.516667
"47","латвия",24.933333,57
"48","эстония",25.633333,58.833333
"49","катар",51.212778,25.269444
"50","азербайджан",47.316667,40.1
"51","марокко",-6.4,31.85
"52","тунис",9.65,34.1
"53","мадагаскар",47.066667,-19.333333
"54","ирландия",-8.116667,53.133333
"55","аргентина",-67.366667,-37.183333
"56","люксембург",6.13,49.77
"57","узбекистан",61.933333,42.583333
"58","сомали",47,6.183333
"59","монако",7.416667,43.733333
"60","гвинея",-10.766667,10.966667
"61","парагвай",-58.2,-23.266667
"62","эфиопия",39.566667,8.966667
"63","монголия",104,46.816667
"64","мальта",14.4,35.916667
"65","йемен",48,15
"66","швеция",16.866667,63.333333
"67","португалия",-8.066667,39.783333
"68","исландия",-17.986667,64.830556
"69","таджикистан",71.283333,38.766667
"70","нидерланды",5.766667,52.35
"71","вьетнам",107.9,14.033333
"72","афганистан",66.183333,33.933333
"73","уругвай",-56.033333,-32.8
"74","нигер",9.366667,17.433333
"75","колумбия",-73.916667,3.816667
"76","гватемала",-90.25,15.5
"77","венесуэла",-65.216667,7.666667
"78","сингапур",103.85,1.35
"79","самоа",-172.023333,-13.865556
"80","словения",15,46.166667
"81","макао",113.558333,22.161667
"82","албания",19.983333,41.35
"83","словакия",19.683333,48.866667
"84","непал",84.283333,28.066667
"85","ямайка",-77.333333,18.166667
"86","маврикий",57.583333,-20.266667
"87","камерун",11.916667,5.116667
"88","перу",-74.966667,-8.8
"89","фиджи",179.412222,-17.813333
"90","ангола",17.35,-12.35
"91","румыния",25.033333,45.9
"92","сальвадор",-88.816667,13.716667
"93","белиз",-88.75,17.25
"94","кения",37.85,-0.4
"95","киргизия",74.983333,41.266667
"96","туркмения",60.266667,39.066667
"97","бенин",2.183333,8.833333
"98","эквадор",-78.466667,-1.4
"99","бутан",90.5,27.45
"100","доминика",-61.338333,15.423333
"101","оман",56.5,20.616667
"102","филиппины",122.05,12.8
"103","нигерия",8.083333,9.366667
"104","великобритания",-2.433333,53.55
"105","коморы",44.233333,-12.183333
"106","суринам",-55.833333,4.083333
"107","черногория",19.166667,42.833333
"108","мозамбик",35.466667,-17.766667
"109","эритрея",39.616667,15.15
"110","боливия",-64.666111,-16.711944
"111","лаос",104.3,18.116667
"112","гана",-0.983333,7.683333
"113","джибути",42.433333,11.8
"114","ирак",44.383333,33.333333
"115","гонконг",114.166667,22.416667
"116","танзания",34.533333,-5.916667
"117","никарагуа",-85,12.9
"118","сенегал",-14.25,14.466667
